"kode_prov","nama_prov","kode_kabkota","nama_kabkota"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan"
"31","Provinsi DKI Jakarta","3101","Kab. Administrasi Kepulauan Seribu"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat"
"32","Provinsi Jawa Barat","3211","Kab. Sumedang"
"32","Provinsi Jawa Barat","3216","Kab. Bekasi"
"32","Provinsi Jawa Barat","3277","Kota Cimahi"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka"
"32","Provinsi Jawa Barat","3206","Kab. Tasikmalaya"
"32","Provinsi Jawa Barat","3214","Kab. Purwakarta"
"32","Provinsi Jawa Barat","3201","Kab. Bogor"
"32","Provinsi Jawa Barat","3275","Kota Bekasi"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon"
"32","Provinsi Jawa Barat","3204","Kab. Bandung"
"32","Provinsi Jawa Barat","3203","Kab. Cianjur"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya"
"32","Provinsi Jawa Barat","3271","Kota Bogor"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu"
"32","Provinsi Jawa Barat","3205","Kab. Garut"
"32","Provinsi Jawa Barat","3215","Kab. Karawang"
"32","Provinsi Jawa Barat","3279","Kota Banjar"
"32","Provinsi Jawa Barat","3274","Kota Cirebon"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis"
"32","Provinsi Jawa Barat","3213","Kab. Subang"
"32","Provinsi Jawa Barat","3202","Kab. Sukabumi"
"32","Provinsi Jawa Barat","3276","Kota Depok"
"32","Provinsi Jawa Barat","3273","Kota Bandung"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan"
"33","Provinsi Jawa Tengah","3316","Kab. Blora"
"33","Provinsi Jawa Tengah","3318","Kab. Pati"
"33","Provinsi Jawa Tengah","3315","Kab. Grobogan"
"33","Provinsi Jawa Tengah","3375","Kota Pekalongan"
"33","Provinsi Jawa Tengah","3311","Kab. Sukoharjo"
"33","Provinsi Jawa Tengah","3306","Kab. Purworejo"
"33","Provinsi Jawa Tengah","3301","Kab. Cilacap"
"33","Provinsi Jawa Tengah","3327","Kab. Pemalang"
"33","Provinsi Jawa Tengah","3325","Kab. Batang"
"33","Provinsi Jawa Tengah","3371","Kota Magelang"
"33","Provinsi Jawa Tengah","3312","Kab. Wonogiri"
"33","Provinsi Jawa Tengah","3322","Kab. Semarang"
"33","Provinsi Jawa Tengah","3310","Kab. Klaten"
"33","Provinsi Jawa Tengah","3304","Kab. Banjarnegara"
"33","Provinsi Jawa Tengah","3317","Kab. Rembang"
"33","Provinsi Jawa Tengah","3329","Kab. Brebes"
"33","Provinsi Jawa Tengah","3321","Kab. Demak"
"33","Provinsi Jawa Tengah","3373","Kota Salatiga"
"33","Provinsi Jawa Tengah","3314","Kab. Sragen"
"33","Provinsi Jawa Tengah","3307","Kab. Wonosobo"
"33","Provinsi Jawa Tengah","3302","Kab. Banyumas"
"33","Provinsi Jawa Tengah","3319","Kab. Kudus"
"33","Provinsi Jawa Tengah","3326","Kab. Pekalongan"
"33","Provinsi Jawa Tengah","3376","Kota Tegal"
"33","Provinsi Jawa Tengah","3313","Kab. Karanganyar"
"33","Provinsi Jawa Tengah","3305","Kab. Kebumen"
"33","Provinsi Jawa Tengah","3303","Kab. Purbalingga"
"33","Provinsi Jawa Tengah","3320","Kab. Jepara"
"33","Provinsi Jawa Tengah","3328","Kab. Tegal"
"33","Provinsi Jawa Tengah","3372","Kota Surakarta"
"33","Provinsi Jawa Tengah","3374","Kota Semarang"
"33","Provinsi Jawa Tengah","3324","Kab. Kendal"
"33","Provinsi Jawa Tengah","3309","Kab. Boyolali"
