"kode_prov","nama_prov","kode_kabkota","nama_kabkota","kode_kecamatan","nama_kecamatan"
"31","Provinsi DKI Jakarta","3101","Kab. Administrasi Kepulauan Seribu","3101.020","KEPULAUAN SERIBU UTARA"
"31","Provinsi DKI Jakarta","3101","Kab. Administrasi Kepulauan Seribu","3101.010","KEPULAUAN SERIBU SELATAN"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.100","MATRAMAN"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.090","PULO GADUNG"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.080","CAKUNG"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.070","DUREN SAWIT"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.060","JATINEGARA"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.050","KRAMAT JATI"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.040","MAKASAR"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.030","CIPAYUNG"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.020","CIRACAS"
"31","Provinsi DKI Jakarta","3172","Kota Administrasi Jakarta Timur","3172.010","PASAR REBO"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.100","SETIA BUDI"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.090","TEBET"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.080","PANCORAN"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.070","MAMPANG PRAPATAN"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.060","KEBAYORAN BARU"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.050","KEBAYORAN LAMA"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.040","PESANGGRAHAN"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.030","CILANDAK"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.020","PASAR MINGGU"
"31","Provinsi DKI Jakarta","3171","Kota Administrasi Jakarta Selatan","3171.010","JAGAKARSA"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.080","KALI DERES"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.070","CENGKARENG"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.060","TAMAN SARI"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.050","TAMBORA"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.040","GROGOL PETAMBURAN"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.030","PALMERAH"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.020","KEBON JERUK"
"31","Provinsi DKI Jakarta","3174","Kota Administrasi Jakarta Barat","3174.010","KEMBANGAN"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara","3175.060","CILINCING"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara","3175.050","KELAPA GADING"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara","3175.040","KOJA"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara","3175.030","TANJUNG PRIOK"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara","3175.020","PADEMANGAN"
"31","Provinsi DKI Jakarta","3175","Kota Administrasi Jakarta Utara","3175.010","PENJARINGAN"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.080","GAMBIR"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.070","SAWAH BESAR"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.060","KEMAYORAN"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.050","CEMPAKA PUTIH"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.040","JOHAR BARU"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.030","SENEN"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.020","MENTENG"
"31","Provinsi DKI Jakarta","3173","Kota Administrasi Jakarta Pusat","3173.010","TANAH ABANG"
"32","Provinsi Jawa Barat","3279","Kota Banjar","3279.040","LANGENSARI"
"32","Provinsi Jawa Barat","3279","Kota Banjar","3279.030","PATARUMAN"
"32","Provinsi Jawa Barat","3279","Kota Banjar","3279.020","PURWAHARJA"
"32","Provinsi Jawa Barat","3279","Kota Banjar","3279.010","BANJAR"
"32","Provinsi Jawa Barat","3277","Kota Cimahi","3277.030","CIMAHI UTARA"
"32","Provinsi Jawa Barat","3277","Kota Cimahi","3277.020","CIMAHI TENGAH"
"32","Provinsi Jawa Barat","3277","Kota Cimahi","3277.010","CIMAHI SELATAN"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.080","CIPEDES"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.071","BUNGURSARI"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.070","INDIHIANG"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.060","MANGKUBUMI"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.050","CIHIDEUNG"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.040","TAWANG"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.031","PURBARATU"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.030","CIBEUREUM"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.020","TAMANSARI"
"32","Provinsi Jawa Barat","3278","Kota Tasikmalaya","3278.010","KAWALU"
