kode_prov,nama_prov,kode_kabkota,nama_kabkota,nama_ibukota,pulau,kode_pemda
31,Provinsi DKI Jakarta,3101,Kab. Administrasi Kepulauan Seribu,P. Seribu,Jawa,0101
31,Provinsi DKI Jakarta,3172,Kota Administrasi Jakarta Timur,Cakung,Jawa,0164
31,Provinsi DKI Jakarta,3171,Kota Administrasi Jakarta Selatan,Kebayoran Baru,Jawa,0163
31,Provinsi DKI Jakarta,3174,Kota Administrasi Jakarta Barat,Grogol Petamburan,Jawa,0162
31,Provinsi DKI Jakarta,3175,Kota Administrasi Jakarta Utara,Tanjung Priok,Jawa,0161
31,Provinsi DKI Jakarta,3173,Kota Administrasi Jakarta Pusat,Tanah Abang,Jawa,0160
31,Provinsi DKI Jakarta,3100,Provinsi DKI Jakarta, ,Jawa, 
32,Provinsi Jawa Barat,3279,Kota Banjar,Banjar,Jawa,0262
32,Provinsi Jawa Barat,3277,Kota Cimahi,Cimahi,Jawa,0261
32,Provinsi Jawa Barat,3278,Kota Tasikmalaya,Tasikmalaya,Jawa,0260
32,Provinsi Jawa Barat,3276,Kota Depok,Depok,Jawa,0258
32,Provinsi Jawa Barat,3275,Kota Bekasi,Bekasi,Jawa,0257
32,Provinsi Jawa Barat,3274,Kota Cirebon,Cirebon,Jawa,0254
32,Provinsi Jawa Barat,3272,Kota Sukabumi,Sukabumi,Jawa,0253
32,Provinsi Jawa Barat,3271,Kota Bogor,Bogor,Jawa,0252
32,Provinsi Jawa Barat,3273,Kota Bandung,Bandung,Jawa,0251
32,Provinsi Jawa Barat,3218,Kab. Pangandaran,Parigi,Jawa,0222
32,Provinsi Jawa Barat,3217,Kab. Bandung Barat,Ngamprah,Jawa,0221
32,Provinsi Jawa Barat,3210,Kab. Majalengka,Majalengka,Jawa,0220
32,Provinsi Jawa Barat,3212,Kab. Indramayu,Indramayu,Jawa,0219
32,Provinsi Jawa Barat,3208,Kab. Kuningan,Kuningan,Jawa,0218
32,Provinsi Jawa Barat,3209,Kab. Cirebon,Sumber,Jawa,0217
32,Provinsi Jawa Barat,3207,Kab. Ciamis,Ciamis,Jawa,0216
32,Provinsi Jawa Barat,3206,Kab. Tasikmalaya,Singaparna,Jawa,0215
32,Provinsi Jawa Barat,3205,Kab. Garut,Garut,Jawa,0214
32,Provinsi Jawa Barat,3211,Kab. Sumedang,Sumedang,Jawa,0213
32,Provinsi Jawa Barat,3204,Kab. Bandung,Soreang,Jawa,0212
32,Provinsi Jawa Barat,3213,Kab. Subang,Subang,Jawa,0211
32,Provinsi Jawa Barat,3214,Kab. Purwakarta,Purwakarta,Jawa,0210
32,Provinsi Jawa Barat,3215,Kab. Karawang,Karawang,Jawa,0209
32,Provinsi Jawa Barat,3216,Kab. Bekasi,Cikarang,Jawa,0208
32,Provinsi Jawa Barat,3203,Kab. Cianjur,Cianjur,Jawa,0207
32,Provinsi Jawa Barat,3202,Kab. Sukabumi,Sukabumi,Jawa,0206
32,Provinsi Jawa Barat,3201,Kab. Bogor,Cibinong,Jawa,0205
32,Provinsi Jawa Barat,3200,Provinsi Jawa Barat, ,Jawa, 
33,Provinsi Jawa Tengah,3372,Kota Surakarta,Surakarta,Jawa,0356
33,Provinsi Jawa Tengah,3371,Kota Magelang,Magelang,Jawa,0355
33,Provinsi Jawa Tengah,3376,Kota Tegal,Tegal,Jawa,0354
33,Provinsi Jawa Tengah,3375,Kota Pekalongan,Pekalongan,Jawa,0353
33,Provinsi Jawa Tengah,3373,Kota Salatiga,Salatiga,Jawa,0352
33,Provinsi Jawa Tengah,3374,Kota Semarang,Semarang,Jawa,0351
33,Provinsi Jawa Tengah,3312,Kab. Wonogiri,Wonogiri,Jawa,0329
33,Provinsi Jawa Tengah,3313,Kab. Karanganyar,Karanganyar,Jawa,0328
33,Provinsi Jawa Tengah,3311,Kab. Sukoharjo,Sukoharjo,Jawa,0327
33,Provinsi Jawa Tengah,3314,Kab. Sragen,Sragen,Jawa,0326
33,Provinsi Jawa Tengah,3309,Kab. Boyolali,Boyolali,Jawa,0325
33,Provinsi Jawa Tengah,3310,Kab. Klaten,Klaten,Jawa,0324
33,Provinsi Jawa Tengah,3305,Kab. Kebumen,Kebumen,Jawa,0323
33,Provinsi Jawa Tengah,3306,Kab. Purworejo,Purworejo,Jawa,0322
33,Provinsi Jawa Tengah,3307,Kab. Wonosobo,Wonosobo,Jawa,0321
33,Provinsi Jawa Tengah,3323,Kab. Temanggung,Temanggung,Jawa,0320
33,Provinsi Jawa Tengah,3308,Kab. Magelang,Mungkid,Jawa,0319
